tile,strip,x,y,lat,lon,mean_intensity,width,height,tile_width,tile_height,center_x,center_y,source_image,denoised,content_score
DEMO_SYNTHETIC_strip_0_0.jpg,DEMO_SYNTHETIC_strip,0,0,,,114.583,1800,2600,640,640,320.0,320.0,DEMO_SYNTHETIC_strip.png,False,0.157075
DEMO_SYNTHETIC_strip_512_0.jpg,DEMO_SYNTHETIC_strip,512,0,,,66.572,1800,2600,640,640,832.0,320.0,DEMO_SYNTHETIC_strip.png,False,0.1471
DEMO_SYNTHETIC_strip_1024_0.jpg,DEMO_SYNTHETIC_strip,1024,0,,,105.057,1800,2600,640,640,1344.0,320.0,DEMO_SYNTHETIC_strip.png,False,0.162036
DEMO_SYNTHETIC_strip_1536_0.jpg,DEMO_SYNTHETIC_strip,1536,0,,,123.841,1800,2600,264,640,1668.0,320.0,DEMO_SYNTHETIC_strip.png,False,0.161826
DEMO_SYNTHETIC_strip_0_512.jpg,DEMO_SYNTHETIC_strip,0,512,,,113.181,1800,2600,640,640,320.0,832.0,DEMO_SYNTHETIC_strip.png,False,0.160133
DEMO_SYNTHETIC_strip_512_512.jpg,DEMO_SYNTHETIC_strip,512,512,,,66.29,1800,2600,640,640,832.0,832.0,DEMO_SYNTHETIC_strip.png,False,0.148216
DEMO_SYNTHETIC_strip_1024_512.jpg,DEMO_SYNTHETIC_strip,1024,512,,,104.021,1800,2600,640,640,1344.0,832.0,DEMO_SYNTHETIC_strip.png,False,0.153433
DEMO_SYNTHETIC_strip_1536_512.jpg,DEMO_SYNTHETIC_strip,1536,512,,,122.678,1800,2600,264,640,1668.0,832.0,DEMO_SYNTHETIC_strip.png,False,0.160818
DEMO_SYNTHETIC_strip_0_1024.jpg,DEMO_SYNTHETIC_strip,0,1024,,,113.26,1800,2600,640,640,320.0,1344.0,DEMO_SYNTHETIC_strip.png,False,0.198321
DEMO_SYNTHETIC_strip_512_1024.jpg,DEMO_SYNTHETIC_strip,512,1024,,,69.473,1800,2600,640,640,832.0,1344.0,DEMO_SYNTHETIC_strip.png,False,0.191078
DEMO_SYNTHETIC_strip_1024_1024.jpg,DEMO_SYNTHETIC_strip,1024,1024,,,105.181,1800,2600,640,640,1344.0,1344.0,DEMO_SYNTHETIC_strip.png,False,0.156563
DEMO_SYNTHETIC_strip_1536_1024.jpg,DEMO_SYNTHETIC_strip,1536,1024,,,123.954,1800,2600,264,640,1668.0,1344.0,DEMO_SYNTHETIC_strip.png,False,0.163085
DEMO_SYNTHETIC_strip_0_1536.jpg,DEMO_SYNTHETIC_strip,0,1536,,,113.614,1800,2600,640,640,320.0,1856.0,DEMO_SYNTHETIC_strip.png,False,0.155948
DEMO_SYNTHETIC_strip_512_1536.jpg,DEMO_SYNTHETIC_strip,512,1536,,,66.32,1800,2600,640,640,832.0,1856.0,DEMO_SYNTHETIC_strip.png,False,0.150373
DEMO_SYNTHETIC_strip_1024_1536.jpg,DEMO_SYNTHETIC_strip,1024,1536,,,103.783,1800,2600,640,640,1344.0,1856.0,DEMO_SYNTHETIC_strip.png,False,0.178491
DEMO_SYNTHETIC_strip_1536_1536.jpg,DEMO_SYNTHETIC_strip,1536,1536,,,117.873,1800,2600,264,640,1668.0,1856.0,DEMO_SYNTHETIC_strip.png,False,0.182913
DEMO_SYNTHETIC_strip_0_2048.jpg,DEMO_SYNTHETIC_strip,0,2048,,,113.714,1800,2600,640,552,320.0,2324.0,DEMO_SYNTHETIC_strip.png,False,0.169586
DEMO_SYNTHETIC_strip_512_2048.jpg,DEMO_SYNTHETIC_strip,512,2048,,,66.226,1800,2600,640,552,832.0,2324.0,DEMO_SYNTHETIC_strip.png,False,0.146647
DEMO_SYNTHETIC_strip_1024_2048.jpg,DEMO_SYNTHETIC_strip,1024,2048,,,104.207,1800,2600,640,552,1344.0,2324.0,DEMO_SYNTHETIC_strip.png,False,0.156692
DEMO_SYNTHETIC_strip_1536_2048.jpg,DEMO_SYNTHETIC_strip,1536,2048,,,121.632,1800,2600,264,552,1668.0,2324.0,DEMO_SYNTHETIC_strip.png,False,0.169461
